NO,Name,DateCreatedYear,DateEstablishedYear,ArticleFrequency,Note( I select some mesh term to find why their frequency is 0 ),
D012174,Retinitis Pigmentosa,1999,1966,6522,,
D012175,Retinoblastoma,1999,1966,6581,,
D012176,Retinoids,1983,1984,5565,,
D012177,Retinol-Binding Proteins,1975,1976,3293,,
D012178,Retinopathy of Prematurity,1999,1987,4971,,
D012179,Retirement,1999,1966,8395,,
D012180,Retraction of Publication as Topic,1984,1984,542,,
D012181,Retrocochlear Diseases,1978,1998,55,,
D012183,Retrograde Degeneration,1999,1991,422,,
D012184,Retrograde Obturation,1999,1965,932,,
D012185,Retroperitoneal Fibrosis,1999,1966,2287,,
D012186,Retroperitoneal Neoplasms,1999,1966,8507,,
D012187,Retroperitoneal Space,1999,1966,7782,,
D012188,Retropneumoperitoneum,1999,1960,674,,
D012189,Retrospective Studies,1999,1967,597351,,
D012190,Retroviridae,1999,1966,16734,,
D012191,Retroviridae Proteins,1985,1986,2114,,
D012192,Retroviridae Infections,1980,1981,3652,,
D012193,Reversal Learning,1999,1966,1995,,
D012194,RNA-Directed DNA Polymerase,1999,1973,7645,,
D012196,Review Literature as Topic,1987,1988,6441,,
D012201,Reward,1999,1965,15500,,
D012202,Reye Syndrome,1999,1977,1616,,
D012203,Rh Isoimmunization,1984,1985,1639,,
D012204,Rh-Hr Blood-Group System,1975,1976,10453,,
D012205,Rhabdiasoidea,1985,1986,14,,
D012206,Rhabdomyolysis,1983,1984,4778,,
D012207,Rhabdomyoma,1999,1966,1229,,
D012208,Rhabdomyosarcoma,1999,1966,8418,,
D012209,Rhabdoviridae,1977,1978,881,,
D012210,Rhamnose,1999,1966,1669,,
D012211,Rhenium,1999,1966,1817,,
D012212,Rheology,1999,1966,21981,,
D012213,Rheumatic Fever,1999,1966,10276,,
D012214,Rheumatic Heart Disease,1999,1963,12042,,
D012215,Rheumatic Nodule,1999,1967,251,,
D012216,Rheumatic Diseases,1999,1990,21226,,
D012217,Rheumatoid Factor,1999,1966,8368,,
D012218,Rheumatoid Nodule,1999,1967,896,,
D012219,Rheumatology,1979,1980,5800,,
D012220,Rhinitis,1999,1966,10514,,
D012221,"Rhinitis, Allergic, Perennial",1979,1980,7427,,
D012222,"Rhinitis, Atrophic",1999,1966,1306,,
D012223,"Rhinitis, Vasomotor",1979,1980,594,,
D012224,Rhinophyma,1999,1991,372,,
D012225,Rhinoplasty,1999,1966,7778,,
D012226,Rhinoscleroma,1999,1966,764,,
D012227,Rhinosporidiosis,1999,1966,477,,
D012228,Rhinosporidium,1999,1966,163,,
D012229,Rhinovirus,1999,1964,3208,,
D012230,Rhizobiaceae,1999,1975,1064,,
D012231,Rhizobium,1999,1963,6254,,
D012232,Rhizoctonia,1974,1991,849,,
D012233,Rhizopus,1999,1966,2065,,
D012234,Rho Factor,1976,1991,582,,
D012235,Rhodamines,1974,1991,7373,,
D012236,Rhodanine,1999,1991,410,,
D012237,Rhode Island,1999,1966,4074,,
D012238,Rhodium,1999,1966,2679,,
D012239,Rhodnius,1999,1991,1053,,
D012240,Rhodococcus,1986,1987,2158,,
D012241,Rhodopseudomonas,1999,1966,1933,,
D012242,Rhodobacter sphaeroides,1999,1974,3185,,
D012243,Rhodopsin,1999,1991,6776,,
D012244,Rhodospirillaceae,1975,1976,271,,
D012245,Rhodospirillales,1975,1976,65,,
D012246,Rhodospirillum,1999,1966,754,,
D012247,Rhodospirillum rubrum,1999,1974,1356,,
D012248,Rhodotorula,1974,1991,1051,,
D012249,Rhombencephalon,1986,1987,2598,,
D012250,Rheum,1999,1964,913,,
D012251,Toxicodendron,1999,1993,317,,
D012252,Natural Family Planning Methods,1974,1975,470,,
D012253,Rib Fractures,1999,1966,2642,,
D012254,Ribavirin,1974,1991,9886,,
D012255,Ribitol,1977,1991,191,,
D012256,Riboflavin,1999,1966,7569,,
D012257,Riboflavin Deficiency,1999,1966,1053,,
D012258,Riboflavin Synthase,1974,1991,141,,
D012259,"Ribonuclease, Pancreatic",1983,1984,3486,,
D012260,Ribonucleases,1999,1983,20493,,
D012261,Ribonucleoproteins,1975,1984,9555,,
D012262,Ribonucleoside Diphosphate Reductase,1999,1991,387,,
D012263,Ribonucleosides,1999,1973,3438,,
D012264,Ribonucleotide Reductases,1999,1974,2628,,
D012265,Ribonucleotides,1999,1973,4685,,
D012266,Ribose,1999,1966,3235,,
D012267,Ribosemonophosphates,1974,1991,530,,
D012268,Ribose-Phosphate Pyrophosphokinase,1974,1991,464,,
D012269,Ribosomal Proteins,1974,1975,11500,,
D012270,Ribosomes,1999,1965,28622,,
D012271,Ribostamycin,1974,1991,95,,
D012272,Ribs,1999,1966,9829,,
D012273,Ribulose-Bisphosphate Carboxylase,1974,1984,2971,,
D012274,Ribulosephosphates,1976,1991,296,,
D012275,Oryza,1999,1966,23738,,
D012276,Ricin,1999,1978,2691,,
D012277,Ricinoleic Acids,1999,1991,290,,
D012278,Ricinus,1999,2002,770,,
D012279,Rickets,1999,1966,5648,,
D012281,Rickettsia,1999,1966,3076,,
D012282,Rickettsia Infections,1986,1987,3102,,
D012283,Rickettsia prowazekii,1999,1966,823,,
D012284,Rickettsia rickettsii,1999,1966,556,,
D012285,Orientia tsutsugamushi,1999,1999,971,,
D012286,Rickettsia typhi,1999,1966,415,,
D012287,Rickettsiaceae,1976,1975,563,,
D012288,Rickettsiaceae Infections,1976,1977,752,,
D012290,Rickettsial Vaccines,1976,1991,181,,
D012293,Rifampin,1999,1973,15796,,
D012294,Rifamycins,1999,1973,2065,,
D012295,Rift Valley Fever,1999,1966,927,,
D012296,Rift Valley fever virus,1999,1991,808,,
D012297,Right to Die,1986,1987,4726,,
D012298,Rigor Mortis,1999,1970,301,,
D012299,Rimantadine,1979,1991,538,,
D012301,Rinderpest,1999,1966,645,,
D012302,Rinderpest virus,1999,1966,532,,
D012303,Ring Chromosomes,1984,1991,1013,,
D012304,"Riot Control Agents, Chemical",1999,1975,51,,
D012305,Riots,1999,1970,349,,
D012306,Risk,1999,1988,106857,,
D012307,Risk Factors,1987,1988,650415,,
D012308,Risk Management,1978,1990,16207,,
D012309,Risk-Taking,1999,1979,22243,,
D012310,Ristocetin,1999,1963,1464,,
D012312,Ritodrine,1974,1986,928,,
D012313,RNA,1999,1963,82079,,
D012314,RNA Cap Analogs,1979,1991,263,,
D012315,RNA Caps,1979,1980,2194,,
D012316,RNA Nucleotidyltransferases,1999,1968,3260,,
D012317,RNA Phages,1979,1980,266,,
D012318,RNA Polymerase I,1976,1984,1680,,
D012319,RNA Polymerase II,1976,1984,7408,,
D012320,RNA Polymerase III,1976,1991,1593,,
D012321,DNA-Directed RNA Polymerases,1999,1973,15727,,
D012322,RNA Precursors,1987,1988,6386,,
D012323,"RNA Processing, Post-Transcriptional",1982,1983,8261,,
D012324,RNA Replicase,1974,1991,3339,,
D012326,RNA Splicing,1981,1982,14420,,
D012327,RNA Virus Infections,1999,1998,758,,
D012328,RNA Viruses,1999,1966,7070,,
D012329,"RNA, Bacterial",1999,1966,24158,,
D012330,"RNA, Double-Stranded",1979,1980,6285,,
D012331,"RNA, Fungal",1979,1980,7134,,
D012332,"RNA, Heterogeneous Nuclear",1978,1979,618,,
D012333,"RNA, Messenger",1999,1965,338716,,
D012334,"RNA, Neoplasm",1999,1966,15418,,
D012335,"RNA, Ribosomal",1999,1972,18877,,
D012336,"RNA, Ribosomal, 16S",1987,1991,36461,,
D012337,"RNA, Ribosomal, 18S",1987,1991,5250,,
D012338,"RNA, Ribosomal, 23S",1987,1991,2936,,
D012339,"RNA, Ribosomal, 28S",1987,1991,1717,,
D012340,"RNA, Ribosomal, 5.8S",1987,1991,942,,
D012341,"RNA, Ribosomal, 5S",1987,1991,1812,,
D012342,"RNA, Small Nuclear",1985,1986,3075,,
D012343,"RNA, Transfer",1999,1972,18186,,
D012344,"RNA, Transfer, Ala",1987,1991,235,,
D012345,"RNA, Transfer, Amino Acid-Specific",1987,1988,735,,
D012346,"RNA, Transfer, Amino Acyl",1977,1978,3139,,
D012347,"RNA, Transfer, Arg",1987,1991,215,,
D012348,"RNA, Transfer, Asn",1987,1991,89,,
D012349,"RNA, Transfer, Asp",1987,1991,246,,
D012350,"RNA, Transfer, Cys",1987,1991,92,,
D012351,"RNA, Transfer, Gln",1987,1991,219,,
D012352,"RNA, Transfer, Glu",1987,1991,223,,
D012353,"RNA, Transfer, Gly",1987,1991,177,,
D012354,"RNA, Transfer, His",1987,1991,166,,
D012355,"RNA, Transfer, Ile",1987,1991,209,,
D012356,"RNA, Transfer, Leu",1987,1991,838,,
D012357,"RNA, Transfer, Lys",1987,1991,609,,
D012358,"RNA, Transfer, Met",1987,1991,933,,
D012359,tRNA Methyltransferases,1999,1974,1020,,
D012360,"RNA, Transfer, Phe",1987,1991,844,,
D012361,"RNA, Transfer, Pro",1987,1991,185,,
D012362,"RNA, Transfer, Ser",1987,1991,404,,
D012363,"RNA, Transfer, Thr",1987,1991,142,,
D012364,"RNA, Transfer, Trp",1987,1991,185,,
D012365,"RNA, Transfer, Tyr",1987,1991,345,,
D012366,"RNA, Transfer, Val",1987,1991,248,,
D012367,"RNA, Viral",1999,1966,69761,,
D012368,4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone,1974,1991,420,,
D012369,"2H-Benzo(a)quinolizin-2-ol, 2-Ethyl-1,3,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-",1974,1991,90,,
D012370,Robenidine,1974,1991,76,,
D012371,Robotics,1986,1987,16608,,
D012372,ROC Curve,1987,1988,38797,,
D012373,Rocky Mountain Spotted Fever,1999,1960,1254,,
D012374,Rod Cell Outer Segment,1980,1991,2702,,
D012375,Rodent Control,1999,1966,600,,
D012376,Rodent Diseases,1999,1966,9652,,
D012377,Rodentia,1999,1982,12855,,
D012378,Rodenticides,1999,1966,1275,,
D012380,Role,1999,1969,15453,,
D012381,Role Playing,1999,1991,2110,,
D012382,Rolitetracycline,1999,1966,367,,
D012383,Romania,1999,1979,8971,,
D012384,Rome,1999,1966,2548,,
D012385,Ronidazole,1974,1991,100,,
D012386,Rooming-in Care,1978,1991,423,,
D012387,Root Canal Filling Materials,1999,1972,5849,,
D012388,Root Canal Irrigants,1983,1984,2818,,
D012389,Root Canal Obturation,1999,1966,3535,,
D012390,Root Canal Therapy,1999,1965,11836,,
D012391,Root Resorption,1999,1972,3070,,
D012392,Rorschach Test,1999,1966,3311,,
D012393,Rosacea,1999,2005,2261,,
D012394,Rosaniline Dyes,1999,1960,4326,,
D012395,Rose Bengal,1999,1966,2248,,
D012397,Rosette Formation,1977,1978,8934,,
D012398,Ross River virus,1974,1991,371,,
D012399,Rotation,1999,1968,23137,,
D012400,Rotavirus Infections,1982,1983,6596,,
D012401,Rotavirus,1977,1983,7678,,
D012402,Rotenone,1999,1966,3310,,
D012403,Rotifera,1976,1977,709,,
D012404,Round Ligament of Uterus,1999,1991,330,,
D012405,"Round Window, Ear",1978,1991,1160,,
D012406,Roxarsone,1974,1991,121,,
D012407,rRNA Operon,1987,1991,348,,
D012408,Rubber,1999,1960,5522,,
D012409,Rubella,1999,1966,7430,,
D012410,"Rubella Syndrome, Congenital",1986,1991,660,,
D012411,Rubella Vaccine,1999,1973,2868,,
D012412,Rubella virus,1999,1966,3326,,
D012413,Rubidium,1999,1966,5060,,
D012414,Rubidium Radioisotopes,1987,1988,1301,,
D012415,Rubinstein-Taybi Syndrome,1999,1991,441,,
D012416,Rubredoxins,1999,1991,477,,
D012417,Rumen,1999,1966,11188,,
D012418,Ruminants,1986,1987,3359,,
D012419,Runaway Behavior,1999,1969,309,,
D012420,Running,1975,1976,15583,,
D012421,Rupture,1999,1968,23462,,
D012422,"Rupture, Spontaneous",1999,1968,18944,,
D012423,Rural Health,1999,1966,22111,,
D012424,Rural Population,1999,1968,46931,,
D012425,Russia (Pre-1917),1999,1967,5960,,
D012426,Russia,1999,1993,35151,,
D012427,Rutamycin,1974,1991,45,,
D012428,Ruthenium,1999,1966,5056,,
D012429,Ruthenium Radioisotopes,1987,1988,273,,
D012430,Ruthenium Red,1974,1991,1892,,
D012431,Rutin,1999,2007,2647,,
D012432,Rwanda,1999,1966,1736,,
D012433,Ryanodine,1974,1991,2796,,
D012434,Secale,1999,1991,1821,,
D012435,S-Adenosylhomocysteine,1974,1991,1215,,
D012436,S-Adenosylmethionine,1999,1973,4914,,
D012437,Adenosylmethionine Decarboxylase,1974,1991,973,,
D012438,Saccades,1974,1991,9158,,
D012439,Saccharin,1999,1971,2718,,
D012440,Saccharomyces,1999,1964,7435,,
D012441,Saccharomyces cerevisiae,1999,1973,92884,,
D012442,Saccharomycopsis,1974,1991,156,,
D012443,Saccharopine Dehydrogenases,1974,1991,146,,
D012444,Saccule and Utricle,1982,1983,1625,,
D012445,Sacrococcygeal Region,1999,1966,3477,,
D012446,Sacroiliac Joint,1999,1966,3499,,
D012447,Sacrum,1999,1966,7685,,
D012448,Sadism,1999,1966,560,,
D012449,Safety,1999,1991,35893,,
D012450,Safflower Oil,1999,1991,780,,
D012451,Safrole,1974,1991,517,,
D012452,Saguinus,1980,1991,634,,
D012453,Saimiri,1974,1991,4102,,
D012454,Salamandra,1999,1972,196,,
D012455,Salamandridae,1999,1981,1928,,
D012456,Salaries and Fringe Benefits,1977,1978,14443,,
D012457,Salicylamides,1999,1966,2568,,
D012458,Salicylanilides,1976,1991,486,,
D012459,Salicylates,1999,1963,12486,,
D012460,Sulfasalazine,1999,1995,3815,,
D012462,"Saline Solution, Hypertonic",1974,1990,5192,,
D012463,Saliva,1999,1966,35523,,
D012464,"Saliva, Artificial",1983,1991,1409,,
D012465,Salivary Duct Calculi,1999,1966,905,,
D012466,Salivary Gland Diseases,1999,1965,3152,,
D012467,Salivary Gland Fistula,1999,1966,319,,
D012468,Salivary Gland Neoplasms,1999,1966,7569,,
D012469,Salivary Glands,1999,1966,14559,,
D012470,"Salivary Glands, Minor",1978,1991,1847,,
D012471,Salivary Proteins and Peptides,1976,1977,4121,,
D012472,Salivation,1999,1966,3770,,
D012473,Salmine,1999,1991,69,,
D012474,Salmon,1999,1972,5277,,
D012475,Salmonella,1999,1966,20066,,
D012476,Salmonella arizonae,1977,1991,176,,
D012477,Salmonella enteritidis,1999,1974,4625,,
D012478,Salmonella Food Poisoning,1999,1966,3151,,
D012479,Salmonella paratyphi C,1975,1991,62,,
D012480,Salmonella Infections,1999,1966,12332,,
D012481,"Salmonella Infections, Animal",1999,1966,8090,,
D012482,Salmonella paratyphi A,1999,1976,1400,,
D012483,Salmonella Phages,1999,1966,1631,,
D012484,Salmonella paratyphi B,1975,1991,395,,
D012485,Salmonella typhi,1975,1976,6515,,
D012486,Salmonella typhimurium,1999,1966,26206,,
D012487,Salmonidae,1999,1968,4213,,
D012488,Salpingitis,1999,1966,1991,,
D012489,Salpingostomy,1987,1988,482,,
D012490,Salsoline Alkaloids,1978,1991,147,,
D012491,Salt Gland,1999,1970,607,,
D012492,Salts,1999,1966,12265,,
D012493,Samarium,1999,1966,849,,
D012494,Sampling Studies,1999,1967,20539,,
D012495,San Francisco,1987,1988,4311,,
D012496,San Marino,1999,1966,72,,
D012497,Sandhoff Disease,1978,1979,397,,
D012498,Sanitary Engineering,1999,1966,1916,,
D012499,Sanitation,1999,1960,6219,,
D012500,Santonin,1999,1966,145,,
D012501,Saphenous Vein,1999,1966,14173,,
D012502,Sapogenins,1977,1979,751,,
D012503,Saponins,1999,1966,10320,,
D012504,Saralasin,1974,1984,1480,,
D012505,Sarcina,1999,1966,914,,
D012507,Sarcoidosis,1999,1960,20570,,
D012508,Sarcolemma,1999,1972,5412,,
D012509,Sarcoma,1999,1966,27992,,
D012510,Sarcoma 180,1999,1983,3037,,
D012511,Sarcoma 37,1999,1991,336,,
D012512,"Sarcoma, Ewing",1999,2012,6178,,
D012513,"Sarcoma, Experimental",1999,1963,10922,,
D012514,"Sarcoma, Kaposi",1999,1998,9517,,
D012515,Mast-Cell Sarcoma,1999,1968,2048,,
D012516,Osteosarcoma,1999,1989,19362,,
D012517,"Sarcoma, Yoshida",1999,1966,1746,,
D012518,Sarcomeres,1983,1991,3503,,
D012519,Sarcoplasmic Reticulum,1999,1972,13071,,
D012520,Sarcoptes scabiei,1999,1966,638,,
D012521,Sarcosine,1999,1968,1275,,
D012522,Sarcocystis,1999,1992,1393,,
D012523,Sarcocystosis,1999,1992,1356,,
D012524,Sarin,1999,1991,824,,
D012525,Saskatchewan,1999,1966,2275,,
D012526,Satellite Viruses,1999,1979,450,,
D012527,Satiation,1999,1973,3052,,
D012528,Satiety Response,1999,1991,2182,,
D012529,Saudi Arabia,1974,1975,9530,,
D012530,Saxitoxin,1999,1974,1085,,
D012531,"Dibenz(b,f)(1,4)oxazepine-10(11H)-carboxylic acid, 8-chloro-, 2-acetylhydrazide",1974,1991,91,,
D012532,Scabies,1999,1960,3043,,
D012533,Scala Tympani,1978,1991,449,,
D012534,Dental Scaling,1999,1991,3343,,
D012535,Scalp,1999,1966,11623,,
D012536,Scalp Dermatoses,1999,1966,3029,,
D012537,Scandinavian and Nordic Countries,1999,1966,4550,,
D012538,Scandium,1999,1966,537,,
D012539,Scapegoating,1975,1991,238,,
D012540,Scapula,1999,1966,5511,,
D012541,Scarlet Fever,1999,1966,1995,,
D012542,"Scattering, Radiation",1999,1974,26164,,
D012543,Scent Glands,1974,1991,320,,
D012544,Scheuermann Disease,1999,2009,592,,
D012545,Schiff Bases,1999,1973,3501,,
D012546,Schilling Test,1999,1966,570,,
D012547,Schistosoma,1999,1966,3272,,
D012548,Schistosoma haematobium,1999,1972,2090,,
D012549,Schistosoma japonicum,1978,1979,2635,,
D012550,Schistosoma mansoni,1999,1972,9245,,
D012551,Schistosomatidae,1981,1982,303,,
D012552,Schistosomiasis,1999,1966,13368,,
D012553,Schistosomiasis haematobia,1985,1986,2090,,
D012554,Schistosomiasis japonica,1985,1986,1929,,
D012555,Schistosomiasis mansoni,1985,1986,5396,,
D012556,Schistosomicides,1999,1975,1298,,
D012557,Schizoid Personality Disorder,1999,1973,577,,
D012559,Schizophrenia,1999,1966,89280,,
D012560,"Schizophrenia, Catatonic",1974,1975,560,,
D012561,"Schizophrenia, Childhood",1999,1966,1531,,
D012562,"Schizophrenia, Disorganized",1999,1973,530,,
D012563,"Schizophrenia, Paranoid",1999,1973,3879,,
D012564,Schizophrenic Language,1999,1966,980,,
D012565,Schizophrenic Psychology,1999,1966,30530,,
D012566,Sizofiran,1975,1991,225,,
D012567,Schizophyllum,1974,1991,416,,
D012568,Schizosaccharomyces,1974,1991,8965,,
D012569,Schizotypal Personality Disorder,1999,1973,2373,,
D012570,School Admission Criteria,1974,1991,4514,,
D012571,School Dentistry,1999,1974,1685,,
D012572,School Health Services,1999,1979,15008,,
D012573,School Nursing,1999,1967,4736,,
D012574,Schools,1999,1966,29268,,
D012575,"Schools, Dental",1999,1966,5994,,
D012576,"Schools, Health Occupations",1999,1968,1435,,
D012577,"Schools, Medical",1999,1966,22965,,
D012578,"Schools, Nursery",1999,1966,1396,,
D012579,"Schools, Nursing",1999,1966,5627,,
D012580,"Schools, Pharmacy",1999,1968,1041,,
D012581,"Schools, Public Health",1999,1966,933,,
D012582,"Schools, Veterinary",1999,1966,1484,,
D012583,Schwann Cells,1999,1968,8388,,
D012584,Sciatic Nerve,1999,1966,17983,,
D012585,Sciatica,1999,1966,4701,,
D012586,Science,1999,1966,19339,,
D012587,Scimitar Syndrome,1984,1985,591,,
D012588,Scintillation Counting,1999,1973,3781,,
D012589,Sciuridae,1999,1968,4365,,
D012590,Sclera,1999,1966,9687,,
D012591,Scleral Buckling,1974,1975,2590,,
D012592,Scleredema Adultorum,1999,1966,364,,
D012593,Sclerema Neonatorum,1999,1966,166,,
D012594,"Scleroderma, Localized",1999,1971,3948,,
D012595,"Scleroderma, Systemic",1999,1971,17087,,
D012596,Scleroproteins,1999,1998,63,,
D012597,Sclerosing Solutions,1999,1966,4755,,
D012598,Sclerosis,1999,1966,8230,,
D012599,Sclerostomy,1987,1988,813,,
D012600,Scoliosis,1999,1966,15221,,
D012601,Scopolamine Hydrobromide,1999,1966,6660,,
D012602,Scopolamine Derivatives,1999,1978,2153,,
D012603,Scopoletin,1974,1991,320,,
D012604,Scorpion Venoms,1977,1978,3251,,
D012605,Scorpions,1999,1966,2250,,
D012606,Scotland,1999,1966,22320,,
D012607,Scotoma,1999,1966,2676,,
D012608,Scrapie,1999,1968,3155,,
D012610,Screw Worm Infection,1999,1991,181,,
D012611,Scrotum,1999,1966,8100,,
D012612,Scrub Typhus,1999,1960,1457,,
D012613,Sculpture,1999,1991,986,,
D012614,Scurvy,1999,1966,1956,,
D012615,Sea Anemones,1974,1991,1266,,
D012616,Sea Cucumbers,1977,1991,688,,
D012617,Sea Urchins,1999,1972,7789,,
D012618,Sea-Blue Histiocyte Syndrome,1983,1984,72,,
D012621,Seasons,1999,1966,88479,,
D012622,Seat Belts,1999,1970,3542,,
D012623,Seawater,1999,1974,24210,,
D012624,Seaweed,1999,1966,2074,,
D012625,Sebaceous Gland Diseases,1999,1998,342,,
D012626,Sebaceous Gland Neoplasms,1999,1968,1319,,
D012627,Sebaceous Glands,1999,1966,3519,,
D012628,"Dermatitis, Seborrheic",1999,1993,2453,,
D012629,Sebum,1999,1966,1277,,
D012631,Secobarbital,1999,1966,710,,
D012632,Secosteroids,1999,1968,292,,
D012633,Secretin,1999,1966,6080,,
D012634,Bodily Secretions,1999,1998,675,,
D012635,Secretory Component,1975,1991,957,,
D012636,Secretory Rate,1999,1968,9585,,
D012637,Security Measures,1977,1978,5914,,
D012639,Seeds,1999,1963,34385,,
D012640,Seizures,1978,1979,46771,,
D012641,"Selection, Genetic",1999,1968,28050,,
D012642,Selegiline,1977,1991,2255,,
D012643,Selenium,1999,1966,18061,,
D012644,Selenium Radioisotopes,1987,1988,330,,
D012645,Selenomethionine,1974,1991,1438,,
D012646,Self Administration,1976,1977,9899,,
D012647,Self-Assessment,1999,1979,11117,,
D012648,Self Care,1980,1981,27337,,
D012649,Self Concept,1999,1969,49488,,
D012650,Self Disclosure,1999,1979,6699,,
D012651,Self Medication,1999,1968,4294,,
D012652,Self Mutilation,1999,1966,3106,,
D012653,Self Stimulation,1999,1965,2834,,
D012654,Self-Care Units,1977,1991,124,,
D012655,Self-Evaluation Programs,1978,1991,942,,
D012656,Self-Help Devices,1999,1966,3921,,
D012657,Self-Help Groups,1999,1979,8260,,
D012658,Sella Turcica,1999,1966,4156,,
D012659,Semantic Differential,1999,1968,1084,,
D012660,Semantics,1999,1966,21417,,
D012661,Semen,1999,1966,17464,,
D012662,Semen Preservation,1977,1978,4421,,
D012663,Semicarbazides,1999,1966,1202,,
D012664,Semicarbazones,1999,1974,399,,
D012665,Semicircular Canals,1999,1966,3632,,
D012666,Semiconductors,1999,1973,6137,,
D012667,Lunate Bone,1999,2006,1337,,
D012668,Trigeminal Ganglion,1999,1990,3389,,
D012669,Seminal Vesicles,1999,1966,7596,,
D012670,Seminiferous Epithelium,1974,1991,985,,
D012671,Seminiferous Tubules,1974,1991,3638,,
D012672,Semliki forest virus,1999,1966,1881,,
D012673,Semustine,1974,1991,469,,
D012674,Senecio,1999,1966,563,,
D012675,Senegal,1999,1966,4961,,
D012676,Senna Extract,1999,2002,586,,
D012677,Sensation,1999,1966,14392,,
D012678,Sensation Disorders,1999,1993,4424,,
D012679,Sense Organs,1999,1972,2140,,
D012680,Sensitivity and Specificity,1986,1987,306297,,
D012681,Sensitivity Training Groups,1999,1972,496,,
D012682,Sensory Aids,1999,1974,1037,,
D012683,Sensory Deprivation,1999,1966,4954,,
D012684,Sensory Thresholds,1999,1979,15664,,
D012685,Sepharose,1999,1984,6582,,
D012686,Septal Nuclei,1999,1978,3094,,
D012688,Septum Pellucidum,1999,1973,2945,,
D012689,"Sequence Homology, Nucleic Acid",1985,1991,44002,,
D012690,Serial Extraction,1999,1973,858,,
D012691,Serial Learning,1999,1967,3006,,
D012692,Serial Passage,1987,1991,1357,,
D012693,Serial Publications,1999,1998,327,,
D012694,Serine,1999,1966,20839,,
D012695,L-Serine Dehydratase,1999,1972,592,,
D012696,Glycine Hydroxymethyltransferase,1974,1991,688,,
D012697,Serine Endopeptidases,1987,1988,22029,,
D012698,Serologic Tests,1999,1998,18203,,
D012699,Serology,1999,1966,893,,
D012700,Serositis,1999,1966,450,,
D012701,Serotonin,1999,1960,64814,,
D012702,Serotonin Antagonists,1977,1978,14348,,
D012703,Serotyping,1999,1970,25692,,
D012704,Serous Membrane,1999,1966,1304,,
D012705,Serratia,1999,1966,1374,,
D012706,Serratia marcescens,1999,1966,4774,,
D012707,Sertoli Cell Tumor,1999,1966,778,,
D012708,Sertoli Cells,1999,1968,6486,,
D012709,Serum Albumin,1999,1966,44010,,
D012710,"Serum Albumin, Bovine",1999,1966,24462,,
D012711,"Serum Albumin, Radio-Iodinated",1999,1966,4850,,
D012712,Serum Globulins,1999,1970,6920,,
D012713,Serum Sickness,1999,1966,1178,,
D012714,Serine-tRNA Ligase,1974,1991,184,,
D012715,Sesame Oil,1999,1991,570,,
D012716,Sesamoid Bones,1999,1966,938,,
D012717,Sesquiterpenes,1999,1974,13202,,
D012718,Set (Psychology),1999,1965,4839,,
D012719,Setariasis,1999,1991,141,,
D012720,Severity of Illness Index,1985,1989,194414,,
D012721,Carbaryl,1999,1974,1135,,
D012722,Sewage,1999,1966,24751,,
D012723,Sex,1999,1966,7551,,
D012724,Sex Attractants,1999,1991,2548,,
D012725,Sexual Behavior,1999,2004,47050,,
D012726,"Sexual Behavior, Animal",1999,1968,20029,,
D012727,Sex Characteristics,1999,1966,46499,,
D012728,Sex Chromatin,1999,1966,3184,,
D012729,Sex Chromosome Aberrations,1999,1968,6506,,
D012730,Sex Chromosomes,1999,1968,8882,,
D012731,Sex Counseling,1987,1988,834,,
D012732,Sex Determination Analysis,1999,2011,4669,,
D012733,Sex Differentiation,1974,1975,4471,,
D012734,Disorders of Sex Development,1999,2011,8685,,
D012735,"Sexual Dysfunction, Physiological",1999,2006,8068,,
D012736,Sex Education,1999,1966,8172,,
D012737,Sex Factors,1999,1968,229286,,
D012738,Sex Hormone-Binding Globulin,1976,1977,5089,,
D012739,Gonadal Steroid Hormones,1999,2004,16608,,
D012740,Sex Manuals,1999,1966,24,,
D012741,Sexual Maturation,1974,1975,11955,,
D012742,Sex Offenses,1999,1968,6995,,
D012743,Sex Preselection,1974,1991,1197,,
D012744,Sex Ratio,1999,1968,8409,,
D012746,Sexual Abstinence,1974,1991,1286,,
D012747,Sexual Partners,1987,1988,12531,,
D012749,Sexually Transmitted Diseases,1999,1987,22008,,
D012750,Seychelles,1974,1975,301,,
D012751,Sezary Syndrome,1978,1979,1544,,
D012752,Shame,1999,1991,1852,,
D012753,Shared Paranoid Disorder,1999,1968,350,,
D012754,Sharks,1999,1966,3618,,
D012756,Sheep,1999,1966,108431,,
D012757,Sheep Diseases,1999,1966,19648,,
D012758,Shellfish,1999,1966,3861,,
D012759,Sheltered Workshops,1999,1967,936,,
D012760,Shigella,1999,1966,5111,,
D012761,Shigella boydii,1999,1991,324,,
D012762,Shigella dysenteriae,1999,1966,1794,,
D012763,Shigella flexneri,1999,1974,3424,,
D012764,Shigella sonnei,1999,1966,2555,,
D012765,Shikimic Acid,1999,1966,862,,
D012766,"Pasteurellosis, Pneumonic",1999,1991,361,,
D012767,Ships,1999,1966,5339,,
D012768,Shivering,1999,1970,1700,,
D012769,Shock,1999,1966,16592,,
D012770,"Shock, Cardiogenic",1999,1971,7001,,
D012771,"Shock, Hemorrhagic",1999,1966,10551,,
D012772,"Shock, Septic",1976,1977,19743,,
D012773,"Shock, Surgical",1999,1966,1053,,
D012774,"Shock, Traumatic",1999,1966,4293,,
